       Xposition(m)           Yposition(m)             Zposition(m)
  1.7172270152090110e+07  -1.0235164780849716e+07   3.1020540584813347e+01
  1.7195090383025285e+07  -1.0196772030296493e+07   3.1769058629483170e+01
  1.7217824810794394e+07  -1.0158328398245322e+07   3.2517304917653090e+01
  1.7240473321899153e+07  -1.0119834076496065e+07   3.3265276485371060e+01
  1.7263035803270236e+07  -1.0081289257101990e+07   3.4012970369984316e+01
  1.7285512142267910e+07  -1.0042694132368610e+07   3.4760383610150114e+01
  1.7307902226682343e+07  -1.0004048894853158e+07   3.5507513245836920e+01
  1.7330205944734495e+07  -9.9653537373631520e+06   3.6254356318342220e+01
  1.7352423185076315e+07  -9.9266088529559970e+06   3.7000909870289775e+01
  1.7374553836791642e+07  -9.8878144349373500e+06   3.7747170945652186e+01
  1.7396597789396630e+07  -9.8489706768605170e+06   3.8493136589751490e+01
  1.7418554932840183e+07  -9.8100777725256180e+06   3.9238803849266304e+01
  1.7440425157504710e+07  -9.7711359159782800e+06   3.9984169772246930e+01
  1.7462208354206517e+07  -9.7321453015089350e+06   4.0729231408118466e+01
  1.7483904414196447e+07  -9.6931061236517080e+06   4.1473985807693424e+01
  1.7505513229160387e+07  -9.6540185771834650e+06   4.2218430023178826e+01
  1.7527034691219814e+07  -9.6148828571228550e+06   4.2962561108185380e+01
  1.7548468692932263e+07  -9.5756991587295070e+06   4.3706376117733950e+01
  1.7569815127292100e+07  -9.5364676775026060e+06   4.4449872108271194e+01
  1.7591073887730762e+07  -9.4971886091803610e+06   4.5193046137671360e+01
  1.7612244868117392e+07  -9.4578621497390180e+06   4.5935895265245050e+01
  1.7633327962759692e+07  -9.4184884953911640e+06   4.6678416551761290e+01
  1.7654323066403784e+07  -9.3790678425859720e+06   4.7420607059433760e+01
  1.7675230074235313e+07  -9.3396003880072740e+06   4.8162463851947436e+01
  1.7696048881879850e+07  -9.3000863285726330e+06   4.8903983994466415e+01
  1.7716779385403167e+07  -9.2605258614329880e+06   4.9645164553631490e+01
  1.7737421481312090e+07  -9.2209191839709320e+06   5.0386002597582360e+01
  1.7757975066554718e+07  -9.1812664938003100e+06   5.1126495195955940e+01
  1.7778440038521230e+07  -9.1415679887647610e+06   5.1866639419904300e+01
  1.7798816295044210e+07  -9.1018238669369740e+06   5.2606432342099410e+01
  1.7819103734399080e+07  -9.0620343266179240e+06   5.3345871036737110e+01
  1.7839302255304966e+07  -9.0221995663351570e+06   5.4084952579560420e+01
  1.7859411756924756e+07  -8.9823197848427240e+06   5.4823674047851130e+01
  1.7879432138865880e+07  -8.9423951811194900e+06   5.5562032520451496e+01
  1.7899363301180877e+07  -8.9024259543683550e+06   5.6300025077770510e+01
  1.7919205144367600e+07  -8.8624123040153570e+06   5.7037648801789274e+01
  1.7938957569369975e+07  -8.8223544297086520e+06   5.7774900776072360e+01
  1.7958620477578398e+07  -8.7822525313173360e+06   5.8511778085779340e+01
  1.7978193770830340e+07  -8.7421068089304290e+06   5.9248277817674220e+01
  1.7997677351410475e+07  -8.7019174628565890e+06   5.9984397060121864e+01
  1.8017071122051750e+07  -8.6616846936218120e+06   6.0720132903120540e+01
  1.8036374985935338e+07  -8.6214087019696380e+06   6.1455482438289240e+01
  1.8055588846691480e+07  -8.5810896888594160e+06   6.2190442758890114e+01
  1.8074712608399700e+07  -8.5407278554657640e+06   6.2925010959828924e+01
  1.8093746175589510e+07  -8.5003234031771870e+06   6.3659184137671886e+01
  1.8112689453240804e+07  -8.4598765335952060e+06   6.4392959390651230e+01
  1.8131542346784256e+07  -8.4193874485334940e+06   6.5126333818672750e+01
  1.8150304762101952e+07  -8.3788563500165140e+06   6.5859304523330540e+01
  1.8168976605527613e+07  -8.3382834402792160e+06   6.6591868607904400e+01
  1.8187557783847480e+07  -8.2976689217648950e+06   6.7324023177388540e+01
  1.8206048204300236e+07  -8.2570129971254370e+06   6.8055765338478440e+01
  1.8224447774577983e+07  -8.2163158692192760e+06   6.8787092199598800e+01
  1.8242756402826430e+07  -8.1755777411109265e+06   6.9518000870916740e+01
  1.8260973997645300e+07  -8.1347988160700030e+06   7.0248488464355760e+01
  1.8279100468089000e+07  -8.0939792975698810e+06   7.0978552093579550e+01
  1.8297135723666930e+07  -8.0531193892868960e+06   7.1708188874010470e+01
  1.8315079674344010e+07  -8.0122192950992060e+06   7.2437395922841770e+01
  1.8332932230541073e+07  -7.9712792190858790e+06   7.3166170359045200e+01
  1.8350693303135313e+07  -7.9302993655259450e+06   7.3894509303379600e+01
  1.8368362803460810e+07  -7.8892799388971020e+06   7.4622409878405200e+01
  1.8385940643308856e+07  -7.8482211438749040e+06   7.5349869208488700e+01
  1.8403426734928540e+07  -7.8071231853316660e+06   7.6076884419816180e+01
  1.8420820991027053e+07  -7.7659862683355850e+06   7.6803452640398220e+01
  1.8438123324770200e+07  -7.7248105981494100e+06   7.7529571000085950e+01
  1.8455333649782844e+07  -7.6835963802296830e+06   7.8255236630575900e+01
  1.8472451880149245e+07  -7.6423438202256590e+06   7.8980446665420190e+01
  1.8489477930413593e+07  -7.6010531239781900e+06   7.9705198240038070e+01
  1.8506411715580480e+07  -7.5597244975186465e+06   8.0429488491726870e+01
  1.8523253151115086e+07  -7.5183581470682090e+06   8.1153314559665150e+01
  1.8540002152943894e+07  -7.4769542790365390e+06   8.1876673584928940e+01
  1.8556658637454942e+07  -7.4355131000206580e+06   8.2599562710501290e+01
  1.8573222521498290e+07  -7.3940348168041970e+06   8.3321979081278540e+01
  1.8589693722386390e+07  -7.3525196363563120e+06   8.4043919844080590e+01
  1.8606072157894548e+07  -7.3109677658305755e+06   8.4765382147661440e+01
  1.8622357746261370e+07  -7.2693794125637870e+06   8.5486363142722310e+01
  1.8638550406189120e+07  -7.2277547840751590e+06   8.6206859981917290e+01
  1.8654650056844040e+07  -7.1860940880654160e+06   8.6926869819860330e+01
  1.8670656617857000e+07  -7.1443975324151560e+06   8.7646389813146200e+01
  1.8686570009323623e+07  -7.1026653251846190e+06   8.8365417120346050e+01
  1.8702390151804857e+07  -7.0608976746120330e+06   8.9083948902027570e+01
  1.8718116966327354e+07  -7.0190947891127860e+06   8.9801982320761750e+01
  1.8733750374383900e+07  -6.9772568772781690e+06   9.0519514541135540e+01
  1.8749290297933485e+07  -6.9353841478751330e+06   9.1236542729748880e+01
  1.8764736659402290e+07  -6.8934768098440160e+06   9.1953064055245430e+01
  1.8780089381683573e+07  -6.8515350722984160e+06   9.2669075688306630e+01
  1.8795348388138197e+07  -6.8095591445238540e+06   9.3384574801666050e+01
  1.8810513602595170e+07  -6.7675492359766290e+06   9.4099558570122620e+01
  1.8825584949351758e+07  -6.7255055562830300e+06   9.4814024170544330e+01
  1.8840562353174130e+07  -6.6834283152379050e+06   9.5527968781885550e+01
  1.8855445739297464e+07  -6.6413177228042240e+06   9.6241389585187050e+01
  1.8870235033426650e+07  -6.5991739891111740e+06   9.6954283763599780e+01
  1.8884930161736354e+07  -6.5569973244538170e+06   9.7666648502382810e+01
  1.8899531050871477e+07  -6.5147879392920420e+06   9.8378480988914220e+01
  1.8914037627947750e+07  -6.4725460442486000e+06   9.9089778412715150e+01
  1.8928449820551746e+07  -6.4302718501092390e+06   9.9800537965441380e+01
  1.8942767556741405e+07  -6.3879655678211690e+06   1.0051075684089999e+02
  1.8956990765046433e+07  -6.3456274084918050e+06   1.0122043223506428e+02
  1.8971119374468695e+07  -6.3032575833876480e+06   1.0192956134608360e+02
  1.8985153314482436e+07  -6.2608563039336620e+06   1.0263814137428683e+02
  1.8999092515034560e+07  -6.2184237817123940e+06   1.0334616952219007e+02
  1.9012936906545382e+07  -6.1759602284617610e+06   1.0405364299452498e+02
  1.9026686419908516e+07  -6.1334658560753450e+06   1.0476055899822707e+02
  1.9040340986491453e+07  -6.0909408766005470e+06   1.0546691474245883e+02
  1.9053900538135953e+07  -6.0483855022376160e+06   1.0617270743861840e+02
  1.9067365007158242e+07  -6.0057999453387335e+06   1.0687793430034715e+02
  1.9080734326349314e+07  -5.9631844184072990e+06   1.0758259254353447e+02
  1.9094008428975526e+07  -5.9205391340959650e+06   1.0828667938634297e+02
  1.9107187248778712e+07  -5.8778643052062960e+06   1.0899019204920621e+02
  1.9120270719976533e+07  -5.8351601446875150e+06   1.0969312775484270e+02
  1.9133258777262900e+07  -5.7924268656354440e+06   1.1039548372826587e+02
  1.9146151355808190e+07  -5.7496646812913860e+06   1.1109725719679498e+02
  1.9158948391259760e+07  -5.7068738050408745e+06   1.1179844539006896e+02
  1.9171649819741916e+07  -5.6640544504133050e+06   1.1249904554004466e+02
  1.9184255577856650e+07  -5.6212068310799530e+06   1.1319905488102246e+02
  1.9196765602683693e+07  -5.5783311608534630e+06   1.1389847064964769e+02
  1.9209179831780918e+07  -5.5354276536866220e+06   1.1459729008492303e+02
  1.9221498203184550e+07  -5.4924965236715395e+06   1.1529551042821511e+02
  1.9233720655409694e+07  -5.4495379850379650e+06   1.1599312892327525e+02
  1.9245847127450380e+07  -5.4065522521529930e+06   1.1669014281623599e+02
  1.9257877558780156e+07  -5.3635395395191480e+06   1.1738654935563653e+02
  1.9269811889352053e+07  -5.3205000617742940e+06   1.1808234579241655e+02
  1.9281650059599165e+07  -5.2774340336896700e+06   1.1877752937994076e+02
  1.9293392010434860e+07  -5.2343416701692760e+06   1.1947209737400287e+02
  1.9305037683253010e+07  -5.1912231862487100e+06   1.2016604703283618e+02
  1.9316587019928390e+07  -5.1480787970940760e+06   1.2085937561712544e+02
  1.9328039962816900e+07  -5.1049087180007210e+06   1.2155208039001953e+02
  1.9339396454755828e+07  -5.0617131643928530e+06   1.2224415861713143e+02
  1.9350656439064210e+07  -5.0184923518215040e+06   1.2293560756656301e+02
  1.9361819859543145e+07  -4.9752464959639660e+06   1.2362642450890871e+02
  1.9372886660475910e+07  -4.9319758126227690e+06   1.2431660671726384e+02
  1.9383856786628400e+07  -4.8886805177245950e+06   1.2500615146723614e+02
  1.9394730183249360e+07  -4.8453608273186805e+06   1.2569505603696370e+02
  1.9405506796070587e+07  -4.8020169575766980e+06   1.2638331770711093e+02
  1.9416186571307346e+07  -4.7586491247905850e+06   1.2707093376089583e+02
  1.9426769455658450e+07  -4.7152575453724380e+06   1.2775790148408518e+02
  1.9437255396306757e+07  -4.6718424358525670e+06   1.2844421816501892e+02
  1.9447644340919185e+07  -4.6284040128792730e+06   1.2912988109460682e+02
  1.9457936237647224e+07  -4.5849424932169040e+06   1.2981488756635300e+02
  1.9468131035126947e+07  -4.5414580937455190e+06   1.3049923487635390e+02
  1.9478228682479440e+07  -4.4979510314594130e+06   1.3118292032331576e+02
  1.9488229129311030e+07  -4.4544215234659350e+06   1.3186594120856614e+02
  1.9498132325713510e+07  -4.4108697869845970e+06   1.3254829483606196e+02
  1.9507938222264360e+07  -4.3672960393461160e+06   1.3322997851239745e+02
  1.9517646770027050e+07  -4.3237004979910480e+06   1.3391098954681940e+02
  1.9527257920551248e+07  -4.2800833804687720e+06   1.3459132525123620e+02
  1.9536771625873074e+07  -4.2364449044365110e+06   1.3527098294022736e+02
  1.9546187838515375e+07  -4.1927852876582053e+06   1.3594995993105422e+02
  1.9555506511487870e+07  -4.1491047480033115e+06   1.3662825354367163e+02
  1.9564727598287534e+07  -4.1054035034457995e+06   1.3730586110073904e+02
  1.9573851052898630e+07  -4.0616817720632190e+06   1.3798277992762615e+02
  1.9582876829793170e+07  -4.0179397720349883e+06   1.3865900735243440e+02
  1.9591804883930925e+07  -3.9741777216423587e+06   1.3933454070599157e+02
  1.9600635170759800e+07  -3.9303958392664306e+06   1.4000937732188896e+02
  1.9609367646215970e+07  -3.8865943433872860e+06   1.4068351453648920e+02
  1.9618002266724203e+07  -3.8427734525829990e+06   1.4135694968890834e+02
  1.9626538989197930e+07  -3.7989333855286753e+06   1.4202968012103776e+02
  1.9634977771039594e+07  -3.7550743609950175e+06   1.4270170317756157e+02
  1.9643318570140800e+07  -3.7111965978473970e+06   1.4337301620596438e+02
  1.9651561344882514e+07  -3.6673003150450130e+06   1.4404361655653855e+02
  1.9659706054135337e+07  -3.6233857316390870e+06   1.4471350158240486e+02
  1.9667752657259640e+07  -3.5794530667726230e+06   1.4538266863951193e+02
  1.9675701114105790e+07  -3.5355025396788055e+06   1.4605111508665317e+02
  1.9683551385014378e+07  -3.4915343696799427e+06   1.4671883828547757e+02
  1.9691303430816356e+07  -3.4475487761866204e+06   1.4738583560049650e+02
  1.9698957212833310e+07  -3.4035459786961097e+06   1.4805210439910226e+02
  1.9706512692877600e+07  -3.3595261967918620e+06   1.4871764205156980e+02
  1.9713969833252600e+07  -3.3154896501420710e+06   1.4938244593107270e+02
  1.9721328596752785e+07  -3.2714365584984864e+06   1.5004651341369484e+02
  1.9728588946664013e+07  -3.2273671416957155e+06   1.5070984187843575e+02
  1.9735750846763704e+07  -3.1832816196496280e+06   1.5137242870722878e+02
  1.9742814261320997e+07  -3.1391802123565740e+06   1.5203427128494710e+02
  1.9749779155096896e+07  -3.0950631398922736e+06   1.5269536699941420e+02
  1.9756645493344475e+07  -3.0509306224107314e+06   1.5335571324141517e+02
  1.9763413241809126e+07  -3.0067828801426320e+06   1.5401530740471472e+02
  1.9770082366728567e+07  -2.9626201333952290e+06   1.5467414688605328e+02
  1.9776652834833164e+07  -2.9184426025502877e+06   1.5533222908517195e+02
  1.9783124613346025e+07  -2.8742505080634820e+06   1.5598955140481615e+02
  1.9789497669983163e+07  -2.8300440704630760e+06   1.5664611125074927e+02
  1.9795771972953703e+07  -2.7858235103490690e+06   1.5730190603176055e+02
  1.9801947490959920e+07  -2.7415890483919852e+06   1.5795693315967623e+02
  1.9808024193197627e+07  -2.6973409053314600e+06   1.5861119004937711e+02
  1.9814002049356062e+07  -2.6530793019756153e+06   1.5926467411879966e+02
  1.9819881029618192e+07  -2.6088044591998276e+06   1.5991738278895065e+02
  1.9825661104660854e+07  -2.5645165979452970e+06   1.6056931348392240e+02
  1.9831342245654907e+07  -2.5202159392182340e+06   1.6122046363089916e+02
  1.9836924424265270e+07  -2.4759027040888825e+06   1.6187083066016595e+02
  1.9842407612651207e+07  -2.4315771136900340e+06   1.6252041200512530e+02
  1.9847791783466360e+07  -2.3872393892162760e+06   1.6316920510230273e+02
  1.9853076909858960e+07  -2.3428897519226340e+06   1.6381720739136145e+02
  1.9858262965471923e+07  -2.2985284231234295e+06   1.6446441631511377e+02
  1.9863349924442970e+07  -2.2541556241915320e+06   1.6511082931952637e+02
  1.9868337761404770e+07  -2.2097715765571017e+06   1.6575644385373388e+02
  1.9873226451485090e+07  -2.1653765017061010e+06   1.6640125737005502e+02
  1.9878015970306880e+07  -2.1209706211797134e+06   1.6704526732399577e+02
  1.9882706293988448e+07  -2.0765541565727775e+06   1.6768847117426697e+02
  1.9887297399143460e+07  -2.0321273295332740e+06   1.6833086638278660e+02
  1.9891789262881270e+07  -1.9876903617603441e+06   1.6897245041470360e+02
  1.9896181862806770e+07  -1.9432434750043010e+06   1.6961322073839162e+02
  1.9900475177020725e+07  -1.8987868910644322e+06   1.7025317482547690e+02
  1.9904669184119757e+07  -1.8543208317885927e+06   1.7089231015083797e+02
  1.9908763863196496e+07  -1.8098455190718146e+06   1.7153062419262113e+02
  1.9912759193839703e+07  -1.7653611748550590e+06   1.7216811443225330e+02
  1.9916655156134278e+07  -1.7208680211248050e+06   1.7280477835444253e+02
